title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,Nominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,genre
2019 - dopo la caduta di new york (1983),dopo la caduta di new york,http://www.imdb.com/title/tt0085125/,5.6,1569,5760,1983.0,video.movie,0,0,3,7,30,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Action
der superfighter (1983),der superfighter,http://www.imdb.com/title/tt0085127/,7.5,8277,6360,1983.0,video.movie,1,3,13,27,57,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
die große zarin (1934),die gro e zarin,http://www.imdb.com/title/tt0025746/,7.8,3572,6240,1934.0,video.movie,1,0,12,25,31,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Drama
ator - herr des feuers (1982),ator herr des feuers,http://www.imdb.com/title/tt0085183/,2.8,1080,5880,1982.0,video.movie,0,0,0,0,33,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
bianca (1984),bianca,http://www.imdb.com/title/tt0085240/,7.5,1546,5760,1984.0,video.movie,0,0,0,0,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Comedy
der schwarze hengst kehrt zurück (1983),der schwarze hengst kehrt zur ck,http://www.imdb.com/title/tt0085248/,5.9,1271,6180,1983.0,video.movie,0,0,22,0,12,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adventure
class - vom klassenzimmer zur klassefrau (1983),class vom klassenzimmer zur klassefrau,http://www.imdb.com/title/tt0085346/,5.8,6235,5880,1983.0,video.movie,0,0,29,47,31,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Comedy
tarzans vergeltung (1934),tarzans vergeltung,http://www.imdb.com/title/tt0025862/,7.7,3343,5220,1934.0,video.movie,1,0,4,13,46,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Action
cujo (1983),cujo,http://www.imdb.com/title/tt0085382/,5.9,20151,5580,1983.0,video.movie,1,3,14,171,126,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Horror
dead zone - der attentäter (1983),dead zone der attent ter,http://www.imdb.com/title/tt0085407/,7.3,35314,6180,1983.0,video.movie,7,4,43,230,168,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,Horror
